lon,lat,state,county
-100.48524,37.0009,OK,Beaver
-100.45408,37.00102,OK,Beaver
-100.43739,37.00112,OK,Beaver
-100.43367,37.00111,OK,Beaver
-100.41252,37.00118,OK,Beaver
-100.35914,37.00152,OK,Beaver
-100.30735,37.00181,OK,Beaver
-100.28183,37.00183,OK,Beaver
-100.24993,37.00188,OK,Beaver
-100.20744,37.00206,OK,Beaver
-100.19773,37.00214,OK,Beaver
-100.19241,37.00204,OK,Beaver
-100.17441,37.00212,OK,Beaver
-100.1257,37.00226,OK,Beaver
-100.11549,37.00222,OK,Beaver
-100.10287,37.00228,OK,Beaver
-100.08972,37.00226,OK,Beaver
-100.08948,37.00226,OK,Beaver
-100.08708,37.00227,OK,Beaver
-100.08326,37.00222,OK,Beaver
-100.07924,37.00218,OK,Beaver
-100.07683,37.00216,OK,Beaver
-100.07279,37.00214,OK,Beaver
-100.06665,37.00212,OK,Beaver
-100.06305,37.00211,OK,Beaver
-100.05828,37.00211,OK,Beaver
-100.05283,37.00207,OK,Beaver
-100.0491,37.00205,OK,Beaver
-100.04503,37.00201,OK,Beaver
-100.04012,37.002,OK,Beaver
-100.03647,37.00197,OK,Beaver
-100.03208,37.00195,OK,Beaver
-100.02866,37.00193,OK,Beaver
-100.02515,37.00193,OK,Beaver
-100.02276,37.00191,OK,Beaver
-100.02053,37.00188,OK,Beaver
-100.01882,37.00189,OK,Beaver
-100.01489,37.00187,OK,Beaver
-100.01423,37.00191,OK,Beaver
-100.01391,37.00182,OK,Beaver
-100.01188,37.0018,OK,Beaver
-100.01096,37.00181,OK,Beaver
-100.00636,37.00176,OK,Beaver
-100.00563,37.00172,OK,Beaver
-100.00256,37.00171,OK,Beaver
-100.00257,37.0016,OK,Beaver
-100.00276,36.99733,OK,Beaver
-100.00266,36.97241,OK,Beaver
-100.00277,36.96066,OK,Beaver
-100.00276,36.93927,OK,Beaver
-100.00327,36.92527,OK,Beaver
-100.00336,36.90854,OK,Beaver
-100.0034,36.893,OK,Beaver
-100.00343,36.88357,OK,Beaver
-100.00355,36.86191,OK,Beaver
-100.00369,36.83866,OK,Beaver
-100.00376,36.82375,OK,Beaver
-100.00381,36.79493,OK,Beaver
-100.00385,36.77508,OK,Beaver
-100.00385,36.76123,OK,Beaver
-100.0038,36.74656,OK,Beaver
-100.00362,36.73543,OK,Beaver
-100.00372,36.71461,OK,Beaver
-100.00359,36.68763,OK,Beaver
-100.00356,36.68098,OK,Beaver
-100.00348,36.66803,OK,Beaver
-100.00341,36.64708,OK,Beaver
-100.00335,36.63827,OK,Beaver
-100.00325,36.61878,OK,Beaver
-100.00317,36.60699,OK,Beaver
-100.00317,36.59423,OK,Beaver
-100.00316,36.59325,OK,Beaver
-100.00315,36.59238,OK,Beaver
-100.00314,36.58961,OK,Beaver
-100.00313,36.58913,OK,Beaver
-100.00313,36.58896,OK,Beaver
-100.00313,36.5888,OK,Beaver
-100.00314,36.58846,OK,Beaver
-100.00314,36.58842,OK,Beaver
-100.00314,36.58837,OK,Beaver
-100.00313,36.58729,OK,Beaver
-100.00328,36.58094,OK,Beaver
-100.00328,36.58051,OK,Beaver
-100.00338,36.56698,OK,Beaver
-100.0034,36.56511,OK,Beaver
-100.00342,36.56132,OK,Beaver
-100.00351,36.55052,OK,Beaver
-100.00354,36.54701,OK,Beaver
-100.00356,36.54375,OK,Beaver
-100.00352,36.53404,OK,Beaver
-100.00368,36.52887,OK,Beaver
-100.00377,36.51711,OK,Beaver
-100.00368,36.51386,OK,Beaver
-100.0037,36.51119,OK,Beaver
-100.00368,36.50841,OK,Beaver
-100.00367,36.50809,OK,Beaver
-100.00369,36.50765,OK,Beaver
-100.00367,36.5,OK,Beaver
-100.00376,36.49985,OK,Beaver
-100.00397,36.49985,OK,Beaver
-100.01391,36.49985,OK,Beaver
-100.02244,36.49983,OK,Beaver
-100.03739,36.49987,OK,Beaver
-100.04251,36.49987,OK,Beaver
-100.06114,36.49987,OK,Beaver
-100.06931,36.49972,OK,Beaver
-100.0968,36.49963,OK,Beaver
-100.11293,36.4999,OK,Beaver
-100.13384,36.49964,OK,Beaver
-100.15229,36.49963,OK,Beaver
-100.15863,36.49963,OK,Beaver
-100.17219,36.49959,OK,Beaver
-100.19709,36.49967,OK,Beaver
-100.23853,36.49977,OK,Beaver
-100.27831,36.49988,OK,Beaver
-100.31051,36.49998,OK,Beaver
-100.31436,36.49963,OK,Beaver
-100.34114,36.49947,OK,Beaver
-100.35603,36.49945,OK,Beaver
-100.41174,36.49945,OK,Beaver
-100.42447,36.49945,OK,Beaver
-100.45051,36.4995,OK,Beaver
-100.48907,36.49947,OK,Beaver
-100.51372,36.49929,OK,Beaver
-100.53121,36.49934,OK,Beaver
-100.54614,36.49934,OK,Beaver
-100.54923,36.49938,OK,Beaver
-100.57808,36.49946,OK,Beaver
-100.58338,36.49944,OK,Beaver
-100.59255,36.49943,OK,Beaver
-100.61553,36.49946,OK,Beaver
-100.64834,36.49949,OK,Beaver
-100.67572,36.49951,OK,Beaver
-100.70863,36.49955,OK,Beaver
-100.72424,36.49958,OK,Beaver
-100.80274,36.49962,OK,Beaver
-100.80618,36.49967,OK,Beaver
-100.84582,36.49966,OK,Beaver
-100.85084,36.4997,OK,Beaver
-100.85756,36.49987,OK,Beaver
-100.86442,36.4997,OK,Beaver
-100.88019,36.49974,OK,Beaver
-100.88418,36.49966,OK,Beaver
-100.88919,36.49991,OK,Beaver
-100.89596,36.49992,OK,Beaver
-100.90232,36.49993,OK,Beaver
-100.90442,36.49964,OK,Beaver
-100.91135,36.49993,OK,Beaver
-100.92237,36.49961,OK,Beaver
-100.93612,36.49959,OK,Beaver
-100.94079,36.49993,OK,Beaver
-100.94862,36.49962,OK,Beaver
-100.95415,36.49992,OK,Beaver
-100.95415,36.5001,OK,Beaver
-100.95413,36.50756,OK,Beaver
-100.95413,36.52141,OK,Beaver
-100.95415,36.53086,OK,Beaver
-100.95402,36.54748,OK,Beaver
-100.95395,36.60528,OK,Beaver
-100.95402,36.62583,OK,Beaver
-100.95401,36.63751,OK,Beaver
-100.95398,36.66063,OK,Beaver
-100.95387,36.71637,OK,Beaver
-100.95404,36.73256,OK,Beaver
-100.95406,36.76973,OK,Beaver
-100.95403,36.7829,OK,Beaver
-100.95395,36.80112,OK,Beaver
-100.95394,36.80976,OK,Beaver
-100.95391,36.83796,OK,Beaver
-100.95351,36.84857,OK,Beaver
-100.94555,36.85939,OK,Beaver
-100.9455,36.87772,OK,Beaver
-100.94545,36.90085,OK,Beaver
-100.94545,36.91725,OK,Beaver
-100.94545,36.93984,OK,Beaver
-100.94546,36.94764,OK,Beaver
-100.94541,36.95742,OK,Beaver
-100.94542,36.97835,OK,Beaver
-100.94548,36.99775,OK,Beaver
-100.94546,36.99842,OK,Beaver
-100.93824,36.99844,OK,Beaver
-100.9232,36.99851,OK,Beaver
-100.91578,36.99856,OK,Beaver
-100.9046,36.9986,OK,Beaver
-100.90423,36.99871,OK,Beaver
-99.40929,35.11451,OK,Beckham
-99.40982,35.11431,OK,Beckham
-99.4198,35.11246,OK,Beckham
-99.42944,35.10872,OK,Beckham
-99.44255,35.11154,OK,Beckham
-99.44969,35.11678,OK,Beckham
-99.45918,35.11685,OK,Beckham
-99.47012,35.11686,OK,Beckham
-99.48633,35.11698,OK,Beckham
-99.49582,35.11698,OK,Beckham
-99.50362,35.11693,OK,Beckham
-99.51421,35.11694,OK,Beckham
-99.53639,35.11695,OK,Beckham
-99.56355,35.11675,OK,Beckham
-99.60797,35.11688,OK,Beckham
-99.61804,35.11661,OK,Beckham
-99.65334,35.11686,OK,Beckham
-99.67689,35.1166,OK,Beckham
-99.71273,35.11678,OK,Beckham
-99.7305,35.11684,OK,Beckham
-99.78291,35.10946,OK,Beckham
-99.78284,35.10317,OK,Beckham
-99.78277,35.096,OK,Beckham
-99.7828,35.06939,OK,Beckham
